"study","design","blinded","target","total.N","orig.dose","assigned.N","duration","scale","baseline.outcome.mean","final.outcome.mean","final.outcome.se","age","male","gain.scores","z.A","z.amitriptyline","z.B1","z.B12","z.B2","z.B3","z.B5","z.B6","z.B7","z.B9","z.C","z.calcium","z.citalopram","z.D","z.E","z.fluoxetine","z.imipramine","z.iron","z.magnesium","z.multinutrient","z.none","z.nortriptyline","z.placebo","z.SSRI","z.SSRI_TCA","z.zinc","intervention","quality"
"Chassoux/2024/France","Randomized Controlled Trial","yes","depression",74,"100000 IU/15days for 2months then 100000 IU the 3rd month in EG, followed by a main-
tenance therapy set at 100 000 IU/month for 6 months 
during the open-label period, and no supplementation 
for the last 3 months of the study. ",40,13,"HADS",14.25,13.23,1.239612842786,43,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"z.D","low"
"Chassoux/2024/France","Randomized Controlled Trial","yes","depression",74,"",34,13,"HADS",14,12,1.19534513844329,34.1,0.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","low"
"Chassoux/2024/France","Randomized Controlled Trial","yes","anxiety",74,"100000 IU/15days for 2months then 
100 000 IU the 3rd month in EG, followed by a main-
tenance therapy set at 100 000 IU/month for 6months 
during the open-label period, and no supplementation 
for the last 3months of the study. ",40,13,"HADS",9.27,9.1,0.303578655376164,43,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"z.D","low"
"Chassoux/2024/France","Randomized Controlled Trial","yes","anxiety",74,"",34,13,"HADS",8.77,7.5,0.291547594742265,34.1,0.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","low"
"Sharifi/2019/Iran","Randomized Controlled Trial","yes","depression",90,"300000 IU",46,13,"Beck Depression Index",12.8,8.5,0.914140128160362,37.5,0.565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"z.D","low"
"Sharifi/2019/Iran","Randomized Controlled Trial","yes","depression",90,"",44,13,"Beck Depression Index",13.9,13.6,1.44725445397327,35,0.568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","low"
"Nguyen/2017/Vietnam","Randomized Controlled Trial","yes","depression",1813,"60 mg,  2800 ug",526,104,"baseline: CES-D, F/u: EPDS",3.42,0.65,0.0832799575576169,25.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"z.B9,z.iron","low"
"Nguyen/2017/Vietnam","Randomized Controlled Trial","yes","depression",1813,"15 micronutrients, 60 mg, 2800 ug",518,104,"baseline: CES-D, F/u: EPDS",3.33,0.56,0.0689818397007082,26.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"z.B9,z.iron,z.multinutrient","low"
"Nguyen/2017/Vietnam","Randomized Controlled Trial","yes","depression",1813,"2800 ug",572,104,"baseline: CES-D, F/u: EPDS",3.66,0.59,0.082787958990702,25.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"z.B9","low"
"Mousa/2018/Australia","Randomized Controlled Trial","yes","depression",65,"100000 IU bolus followed by 4000 IU daily",26,16,"Beck Depression Inventory",6.333,5,1.07667758190863,31.5,0.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"z.D","low"
"Mousa/2018/Australia","Randomized Controlled Trial","yes","depression",65,"",22,17,"Beck Depression Inventory",3.167,1.833,0.675846270847285,32,0.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","low"
"Zaromytidou/2022/Greece","Randomized Controlled Trial","no","depression",90,"25000 IU",45,52,"PHQ-9",19.85,13.52,0.74684670448493,74.03,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"z.D","some concerns"
"Zaromytidou/2022/Greece","Randomized Controlled Trial","no","depression",90,"",45,52,"PHQ-9",18.71,20.2,1.29244729099488,73.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","some concerns"
"Zaromytidou/2022/Greece","Randomized Controlled Trial","no","anxiety",90,"25000 IU",45,52,"STAI-S",42.66,32.59,0.96150923032491,74.03,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"z.D","some concerns"
"Zaromytidou/2022/Greece","Randomized Controlled Trial","no","anxiety",90,"",45,52,"STAI-S",44.17,44.97,1.15977392432989,73.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"z.placebo","some concerns"
"Sahraian/2015/Iran","Randomized Controlled Trial","yes","depression",43,"1000 mg, 20 mg",21,8,"HAM-D",21.4,8.6,1.13473302922716,32.7,0.286,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"z.C,z.citalopram","high"
